Time,ax_barato,ay_barato,az_barato,wx_barato,wy_barato,wz_barato,Lat_barato,Lon_barato,Alt_barato,vN_barato,vE_barato,vU_barato,d_izq_barato,d_der_barato
0.29,0.0018,-0.0018,-0.0005,0,0.0037,-0.0001,19.4327,-99.1336,2237.73,14.98,-0.037,-0.02,497.39,499.84
0.3,0.0044,0.0023,-0.0015,-0.0023,-0.0027,0.0039,19.4327,-99.1336,2241.46,15.021,-0.007,0.003,501.25,501.37
0.31,0.0042,0.0031,0.0041,0.0028,0.0012,0.0022,19.4327,-99.1336,2238.02,14.991,-0.021,-0.032,499.54,499.14
0.32,0.0033,-0.002,0.0035,-0.0029,-0.003,0.0013,19.4327,-99.1336,2244.6,14.925,-0.038,0.012,499.42,501.68
0.33,0.003,-0.0049,-0.0038,0.0021,0.0001,0.0018,19.4327,-99.1336,2237.15,14.983,-0.032,-0.003,499.31,499.97
0.34,-0.0033,-0.0036,-0.0004,0.0023,0,0.0033,19.4327,-99.1336,2238.08,15.017,0,-0.015,499.52,501.84
0.35,-0.0024,0.0038,-0.0005,0.0033,0.0035,0.0019,19.4327,-99.1336,2245.05,14.972,0.028,0.014,499.8,504.1
0.36,-0.0015,-0.0047,0.0024,0.0008,0.0003,-0.0014,19.4327,-99.1336,2239.34,15.105,0.043,-0.005,499.93,500.12
0.37,-0.0044,0.0002,0.0053,0.0048,0.0001,0.0024,19.4327,-99.1336,2245.01,15.104,0.025,0.062,500.13,500.13
0.38,-0.0024,-0.0022,0.0026,0.001,-0.0015,-0.0005,19.4327,-99.1336,2242.68,15.048,-0.011,-0.004,500.86,498.66
0.39,-0.0012,0.0013,-0.0028,-0.0008,-0.0017,0.0002,19.4327,-99.1336,2235.69,15.055,0.052,0.026,500.46,500.32
0.4,-0.0027,0.0051,-0.0055,0.0032,0,0.001,19.4327,-99.1336,2243.53,15.026,0.017,-0.017,500.55,498.37
0.41,0.0016,-0.1878,-0.0029,0.0026,0.0015,0.0029,19.4327,-99.1336,2244.16,14.992,0.044,-0.005,500.92,501.03
0.42,0.0024,-0.356,-0.0034,-0.0058,0.0008,0.0024,19.4327,-99.1336,2240.86,14.984,0.031,-0.002,505.73,507.41
0.43,0.004,-0.4904,0.0007,-0.0008,-0.0028,0.0021,19.4327,-99.1336,2243.96,15.001,-0.032,0.017,508.66,510.7
0.44,0.0057,-0.5672,0.0034,-0.0035,-0.0017,-0.0019,19.4327,-99.1336,2244.53,14.891,0.023,0.023,511.61,511.06
0.45,-0.0015,-0.6019,-0.0056,0.0033,0.0004,0.0022,19.4327,-99.1336,2242.59,15.025,0.005,0.033,511.29,511.22
0.46,0.0016,-0.5763,-0.0012,-0.0016,0.0007,0.0046,19.4327,-99.1336,2236.1,14.944,0.001,0.04,508.96,509.58
0.47,-0.0025,-0.4894,0.002,0.0001,-0.0069,-0.0018,19.4327,-99.1336,2243.99,14.989,-0.012,-0.012,508.26,506.66
0.48,-0.0073,-0.3535,-0.0025,0.002,0.002,0.0013,19.4327,-99.1336,2236.77,14.918,0.046,-0.019,505.05,506.87
0.49,0.0023,-0.1819,-0.0027,0.0001,-0.0005,-0.0036,19.4327,-99.1336,2238.35,14.969,0.024,-0.037,498.07,502.5
0.5,-0.0018,-0.0001,0.0025,-0.0018,0.0004,-0.0016,19.4327,-99.1336,2240.01,14.993,0.006,-0.033,499.41,498.5
0.51,0,-0.1919,0.0014,-0.0009,0.0005,0.0012,19.4327,-99.1336,2241.43,15.024,-0.005,0.045,503.72,502.91
0.52,-0.0014,-0.3527,-0.0002,0.0007,-0.0018,-0.0027,19.4327,-99.1336,2236.69,15.126,0.021,-0.02,504.68,505.92
0.53,-0.0032,-0.4859,-0.0029,-0.0007,0.0012,0.0011,19.4327,-99.1336,2240.78,15.008,-0.049,0.033,505.67,507.82
0.54,-0.0002,-0.5749,0.0018,-0.0037,-0.001,0.0011,19.4327,-99.1336,2239.34,14.972,-0.01,-0.011,507.15,510.94
0.55,0.0067,-0.6027,0.0068,0.0002,0.0001,0.0019,19.4327,-99.1336,2241.02,15.043,-0.01,0.046,508.99,509.46
0.56,-0.0014,-0.5716,0.0005,-0.002,0.0018,-0.001,19.4327,-99.1336,2240.28,15.005,-0.019,0.004,509.31,507.01
0.57,0.0052,-0.4819,0.0043,-0.002,-0.0035,0.0015,19.4327,-99.1336,2245.33,14.974,0.003,0.046,508.77,507.42
0.58,-0.0004,-0.362,-0.0049,-0.0009,0.0003,0.0033,19.4327,-99.1336,2242.18,14.988,0.028,0.029,508.04,505.45
0.59,0.004,-0.1851,0.0004,0.0013,0.0027,0.0014,19.4327,-99.1336,2237.79,15.01,0.041,0.017,503.3,501.75
0.6,0.0056,0.0018,0.001,-0.0022,-0.0021,-0.0024,19.4327,-99.1336,2239.16,15.028,-0.018,-0.047,498.76,497.09
0.61,-0.0001,0.0056,0.0014,0.0025,0.0005,-0.0011,19.4327,-99.1336,2238.73,14.996,-0.033,0.001,501.07,501.37
0.62,-0.0004,-0.0042,0.0014,-0.0007,0.0017,-0.0008,19.4327,-99.1336,2242.07,15.036,-0.013,-0.006,503.81,497.67
0.63,0.0031,-0.0063,-0.0025,0.0008,-0.0002,-0.002,19.4327,-99.1336,2235.9,14.983,0.016,0.002,501.3,500.47
0.64,0.0009,-0.0006,-0.0025,0.0026,0.0017,-0.0015,19.4327,-99.1336,2242.8,14.979,0.001,-0.036,499.08,499.77
0.65,-0.0011,-0.0022,0.0024,0.0031,0.0027,-0.0019,19.4327,-99.1336,2237.05,14.916,0.008,0.038,500,499.25
0.66,-0.003,0.0043,0.0005,0.0017,0.0012,-0.0014,19.4327,-99.1336,2238.78,15.014,-0.057,0.018,502.78,498.95
0.67,-0.0008,0.0075,0.0004,-0.0037,-0.0009,-0.0008,19.4327,-99.1336,2240.85,14.985,-0.016,0.065,499.42,500.25
0.68,-0.0006,-0.0057,0.0033,-0.0008,-0.0023,0.001,19.4327,-99.1336,2240.68,15.026,-0.035,-0.013,499.07,498
0.69,-0.0013,-0.0002,0.0058,0.0007,-0.0002,-0.0001,19.4327,-99.1336,2238.51,14.972,-0.001,-0.009,503.28,500.53
0.7,0.001,0.0033,-0.0036,-0.001,-0.0027,-0.0014,19.4327,-99.1336,2237.11,14.869,0.013,-0.009,501.59,503.37
0.71,-0.0041,-0.001,-0.0004,0.0008,0.0002,-0.0005,19.4327,-99.1336,2237.02,14.944,-0.008,-0.029,500.49,502.73
0.72,0.0017,-0.0016,-0.0025,0.0032,0.0002,-0.0018,19.4327,-99.1336,2237.73,15.007,-0.001,0.032,499.05,500.31
0.73,0.0032,-0.0016,0.0013,-0.0026,-0.0017,-0.0012,19.4327,-99.1336,2241.32,15.003,0.031,-0.076,500.83,497.77
0.74,0.0043,0.0013,-0.003,0.0022,0.0029,0.0019,19.4327,-99.1336,2235.7,14.941,-0.029,0.002,499.39,502.58
0.75,0.006,-0.0033,0.0033,-0.0027,0.0032,0.0013,19.4327,-99.1336,2237.27,14.959,-0.011,0.006,498.83,500.38
0.76,0.0005,0.0037,-0.0095,0.0462,-0.0017,-0.0016,19.4327,-99.1336,2241.87,14.999,0.011,-0.046,498.45,502.3
0.77,-0.0048,-0.0012,-0.0005,0.0845,-0.0009,-0.0001,19.4327,-99.1336,2235.45,14.973,-0.038,-0.025,495.4,503.45
0.78,0.0003,0.0029,-0.0011,0.123,-0.0028,0.0013,19.4327,-99.1336,2238.26,14.988,-0.001,0.01,495.26,506.13
0.79,-0.0026,-0.0006,0.0029,0.1449,0.0019,0.0016,19.4327,-99.1336,2245.09,14.964,0.029,-0.018,496.51,503.45
0.8,-0.0008,0.0011,0.0018,0.1524,-0.0012,0.0001,19.4327,-99.1336,2244.06,14.967,0.016,0.011,496.56,504.19
0.81,-0.0028,-0.005,0.0007,0.142,-0.0029,-0.0002,19.4327,-99.1336,2242.1,14.993,0.013,0.006,495.55,503.91
0.82,0.0008,-0.001,-0.001,0.1197,-0.0011,0.0024,19.4327,-99.1336,2238.71,14.964,0.065,-0.004,494.32,505.96
0.83,-0.0002,0.0005,-0.0003,0.0864,-0.0031,-0.0004,19.4327,-99.1336,2236.28,14.993,0.046,0.021,498.42,503.06
0.84,0.0032,0.0026,-0.0008,0.0464,-0.0023,-0.0014,19.4327,-99.1336,2242.86,14.982,0.052,0.002,498.81,502.74
0.85,0.0032,-0.0025,0.0023,-0.0002,-0.0011,0.0022,19.4327,-99.1336,2240.26,14.95,-0.003,0.048,500.69,497.45
0.86,0.0012,-0.0016,-0.0021,0.045,-0.0001,-0.0038,19.4327,-99.1336,2235.37,14.928,-0.003,-0.023,497.34,498.92
0.87,0.0019,-0.0054,-0.0021,0.0913,-0.0013,0.0009,19.4327,-99.1336,2242.48,14.986,-0.031,0.002,496.58,504.36
0.88,0.0028,0.0008,0.0053,0.1238,-0.0003,-0.0003,19.4327,-99.1336,2239.61,14.977,-0.032,0.008,496.06,503.92
0.89,-0.0001,0.0016,-0.0014,0.1431,0.0019,-0.0005,19.4327,-99.1336,2243.18,15.1,0.025,0.016,495.62,504.64
0.9,-0.002,-0.0028,0.0015,0.1563,0.0044,-0.0027,19.4327,-99.1336,2238.21,15.013,-0.045,0.043,492.52,505.23
0.91,-0.0036,-0.0087,0.002,0.1443,0.0027,-0.0029,19.4327,-99.1336,2243.42,15.022,-0.033,0.026,492.17,505.48
0.92,-0.0021,-0.0017,-0.0023,0.1224,-0.0004,-0.0027,19.4327,-99.1336,2236.98,15.101,-0.002,-0.081,496.15,506.38
0.93,0,-0.0013,0.0014,0.0903,-0.0008,-0.0003,19.4327,-99.1336,2239.55,15.027,0.001,0.036,498.55,501.77
0.94,0.0031,-0.0016,-0.0061,0.0438,0.0014,0.0005,19.4327,-99.1336,2240.02,15.005,-0.021,-0.1,496.05,496.51
0.95,0.0001,0.0029,0.0038,-0.0004,0.0045,0.0012,19.4327,-99.1336,2238.6,14.95,-0.007,0.031,501.63,501.69
0.96,-0.0029,-0.0005,-0.0022,0.0007,-0.0035,0.0005,19.4327,-99.1336,2238.64,14.992,0.001,0.085,501.13,498.4
0.97,0.0017,-0.0006,-0.0062,-0.0004,-0.0007,-0.0019,19.4327,-99.1336,2236.55,14.965,-0.028,-0.004,500.32,500.99
0.98,-0.0033,-0.0022,-0.0003,0.0018,-0.0012,0.0014,19.4327,-99.1336,2244.8,15.013,0.016,-0.012,499.31,499.16
0.99,0.004,0.0013,0.0015,-0.0012,0.0021,0.0009,19.4327,-99.1336,2244.81,14.939,0.005,0.015,501.37,499.76
